area,rooms,bathrooms,parking_spaces,title,neighbourhood_city,street,sell_value
69 m²,2,2,1,"Apartamento com 02 Quartos à Venda no Nova Aliança em Ribeirão Preto com sacada. - 02 Quartos sendo 1 suíte; - Cala 2 ambientes; - Cozinha; - Área de serviço; - 01 Vaga de garagem; - Apartamento com armários. Este charmoso apartamento no bairro Nova Aliança oferece uma ótima opção para quem busca comodidade e conforto. Com dois quartos, incluindo uma suíte, este imóvel é ideal para casais ou pequenas famílias. A sala de estar conta com um agradável ambiente de jantar, proporcionando espaços distintos para relaxar e compartilhar refeições. A cozinha e a área de serviço são práticas e funcionais, enquanto a vaga de garagem proporciona a conveniência que todos desejam. Além disso, o apartamento já possui armários, o que facilita a organização e otimiza o espaço. Situado no bairro Nova Aliança, este imóvel desfruta de uma localização privilegiada, próxima a diversos serviços e facilidades. Seja para quem precisa de acesso rápido a escolas, supermercados, ou áreas de lazer, esse lugar é ideal. Com suas características práticas e a conveniência de armários já instalados, este apartamento oferece uma oportunidade imperdível para quem deseja viver em um lugar bem localizado e confortável. Não perca a chance de tornar este imóvel a sua nova moradia. -","Nova Aliança, Ribeirão Preto",Rua Arnaud Capuzzo,R$ 370.000
71 m²,2,2,2,"Apartamento Térreo de 71,31m2, com quintal privativo de 14m2, que conta com 02 quartos sendo uma suíte com closet, banheiro social, sala, lavabo, cozinha, área de serviço e 02 vagas de estacionamento. Condomínio MARAVILHOSO com salão de festa, piscina, jacuzzi, sauna, play baby, pista de caminhada, play kids, espaço fitness, varanda de jogos, quiosque, home cinema e muito mais... A Torre-Leste esta com a implantação da obra e fundação 100% realizada, a estrutura esta 10% realizada. A PREVISÂO DE ENTREGA É PARA OUTUBRO DE 2022. VENHA CONHECER O APARTAMENTO DOS SEUS SONHOS!!!! IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e/ou alteração pelos proprietários ou pessoas responsáveis. -","Bonfim Paulista, Ribeirão Preto",,R$ 403.500
54 m²,3,2,1,"Edifício reformado recentemente com grafiato na parte externa. 03 dormitórios com ventiladores (sendo 1 com armário), banheiro com box e armário, sala, cozinha e área de serviço com armários, luminárias, piso frio. 1 Vaga na garagem -","Jardim Paulistano, Ribeirão Preto",Rua João Bim,R$ 155.000
150 m²,2,2,3,"Casa para Venda no bairro Parque Residencial Emir Garcia, localizado na cidade de Ribeirão Preto / SP. Valor do Imóvel R$ 280.000,00 - 2 dormitórios, sendo 1 suíte, - Banheiro social, - Cozinha planejada, - Ar condicionado na sala e na suíte, - Armários embutidos nos quartos, - Ventiladores de tetos nos quartos e sala, - Garagem coberta para até 3 carros, - Área de churrasco, - Portão eletrônico, Área Total de 150,00 m²","Parque Residencial Emir Garcia, Ribeirão Preto",,R$ 280.000
65 m²,2,2,1,"Apartamento de 2 dormitórios sendo 1 suíte, todo reformado, com móveis planejados. Cozinha com cooktop, forno de embutir e exaustor. Sanca de gesso e Lustre na sala. Ventiladores de teto e ar condicionado. Próximo à farmácia, supermercados, caixa eletrônico e USP. Área de lazer tem piscina e parquinho com salão de festa, entrada separada do condomínio. Sistema de segurança com câmeras 24h e portaria em horário comercial. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso. -","Sumarezinho, Ribeirão Preto",Rua Adalberto Pajuaba,R$ 265.000
200 m²,2,3,2,"Linda Casa no Jd. Piratininga 2 dormitórios sendo 1 suíte com sacada 3 banheiros 2 salas 1 cozinha Área gourmet churrasqueira 2vagas de garagem Bairro Jardim Piratininga, 2 dormitórios, 3 banheiros, 1 su?te, 2 garagens descobertas, 2 garagens, Armários Banheiro, Armários Cozinha, Armários Dormitórios, Ar Condicionado, Ventilador de Teto, Churrasqueira, Portão Eletrônico, Área de Serviço, Cozinha, Sala Estar, Sala Jantar, Varanda Gourmet, Gesso, Piso Frio, 150 m² área total, 200 m² área constu?da, 200 m² área útil, R$ 50,00 valor IPTU, R$ 350.000,00 valor venda, Acesse: www.imobiliariacesarpaschoal.com.br para encontrar as melhores oportunidades. ..","Jardim Piratininga, Ribeirão Preto",,R$ 350.000
128 m²,2,2,2,"Casa localizada no Jardim Porto Seguro com Sala se tv, cozinha, 2 dormitórios, 2 banheiros (sendo 1 reversível para suíte) Copa (que pode ser revertida para o 3 dormitório), garagem para 2 carros, portão eletrônico, toda em porcelanato. *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Jardim Porto Seguro, Ribeirão Preto",Rua Professor Rodarte Ballaben,R$ 250.000
48 m²,2,2,1,"Apartamento no Ipiranga 48 m², 02 dormitórios sendo 1 suíte com sacada, Armários planejados na cozinha, dormitórios e banheiros, Box blindex nos banheiros, espelhos grandes, Instalação pronta pra ar condicionado, sala dois ambientes, área de serviços, 01 vaga de garagem. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso. -","Ipiranga, Ribeirão Preto",Rua General Câmara,R$ 160.000
56 m²,2,2,2,"Apartamento À Venda No Bairro Greenville Com 02 Dormitórios. Unidade conta com: 55.89 m² de área útil Completo em armários planejados 02 dormitórios 02 banheiros Sala Cozinha planejada Área de serviço 01 vaga de garagem Próximo ao Novo Shopping, excelente bairro para morar. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Residencial Greenville, Ribeirão Preto",Rua Antônio Carlos Nero,R$ 220.000
32 m²,1,1,1,"Kit em ótima localização, dormitório/sala com armários e ventilador de teto, banheiro social com gabinete e box blindex, cozinha planejada e 1 vaga de garagem. NTERESSADOS: 1 6 9 9 6 2 8 - 2 7 1 4 / 1 6 9 9 7 4 2 - 6 6 7 8 seu sonho ou seu investimento realizado com a equipe LAGO. ref. 195464 atualizado em 05/12.","Nova Ribeirânia, Ribeirão Preto",,R$ 190.000
92 m²,2,1,2,"Casa com 2 dormitórios à venda, 92 m² no bairro Parque São Sebastião - Ribeirão Preto/SP! 2 dormitórios sendo duas suítes com armários; Sala ampla com acesso a cozinha; Cozinha com armários planejados; Banheiro social; Lavado; Área de serviço; Área de churrasco. 1 Vaga na garagem. *valores sujeitos à alteração sem prévio aviso. -","Parque São Sebastião, Ribeirão Preto",,R$ 265.000
385 m²,,,,"Lote com 385 m² no bairro Ribeirania. IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Ribeirânia, Ribeirão Preto",Rua José Rosário,R$ 250.000
81 m²,2,1,2,"Excelente apto com 2 dormitórios, sendo 1 suíte Sala ampla e arejada Cozinha bem iluminada Varanda Gourmet Apartamento repleto de armários Lazer completa -","Vila Tibério, Ribeirão Preto",Rua Padre Anchieta,R$ 390.000
97 m²,3,2,2,"Apartamento com 3 dormitórios no bairro Jardim Anhanguera - Ribeirão Preto - Venda - 97 m². Características do Apartamento com 3 dormitórios no bairro Jardim Anhanguera - Ribeirão Preto - Venda - 97 m². - 3 dormitórios, sendo 1 suíte - 2 banheiros - 1 sala - 1 cozinha - 1 lavanderia - 2 vagas de garagem Para mais informações sobre o imóvel entre em contato com a Dinardi: Whatsapp: Faça já sua visita: Imobiliária Dinardi - Imóveis em Ribeirão Preto Rua Nélio Guimarães, 1526 Jardim São Luís - Ribeirão Preto, SP. Venha, entre e sinta-se em casa! www.imobiliariadinardi.com.br -","Jardim Anhangüera, Ribeirão Preto",,R$ 260.000
75 m²,2,2,1,"Ótima oportunidade!! Apartamento com 02 dormitórios sendo 01 suíte com ar condicionado, sala de tv, banheiro social, cozinha planejada, lavanderia, Hall com Armário Cristaleira, Varanda fechada que pode ser integrada a Sala de Tv, 01 vaga de garagem coberta. Condomínio possui ampla área de lazer (Quadra de Futebol, Piscina Adulto e Infantil, Mercado com Itens Variados, Salão de Festa), Segurança e Portaria com Vigilância. *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Jardim Anhangüera, Ribeirão Preto",Rua Isaías José Ferreira,R$ 250.000
42 m²,2,1,1,"Apto padrão, 42m², próximo á Avenida Treze de Maio,2 dormitórios, banheiro social, sala dois ambientes, cozinha tipo americana, lavanderia, 1 vaga de garagem. Prédio com elevador e portaria 24 horas. IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Jardim Paulistano, Ribeirão Preto",Rua Teresa Cristina,R$ 160.000
65 m²,2,2,1,"Apartamento com 2 dormitórios no bairro Jardim Palmares - Ribeirão Preto - Venda- 65 m². Características do Apartamento com 2 dormitórios no bairro Jardim Palmares - Ribeirão Preto - Venda - 65 m². - 2 dormitórios, sendo 1 suíte - 2 banheiros - Rico em armários - 1 sala - 1 cozinha - 1 sacada - 1 lavanderia - 1 vaga de garagem coberta Bairro tranquilo e seguro com fácil acesso á Rodovia Anhanguera. Para mais informações sobre o imóvel entre em contato com a Dinardi: . WhatsApp: . Faça já sua visita: Dinardi Imóveis - Imobiliária em Ribeirão Preto Rua Nélio Guimarães, 1526 Jardim São Luís - Ribeirão Preto, SP. Venha, entre e sinta-se em casa! www.imobiliariadinardi.com.br -","Residencial e Comercial Palmares, Ribeirão Preto",,R$ 265.000
86 m²,3,2,2,"Lindo Apartamento NOVO no Bairro IRAJÁ zona Sul de Ribeirão `Preto. Apartamento com 3 dormitórios sendo uma suíte, sala, cozinha, área de serviço, 2 vagas de garagem e varanda gourmet com churrasqueira. *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita . *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Jardim Irajá, Ribeirão Preto",Rua Doutor José Guimarães,R$ 395.000
142 m²,3,2,3,"Excelente casa no Jardim Independência, próximo Av. Cavalheiro Paschoal Innecchi, com 250,00 m² de área total e 141,64 m² de área construída, 03 dormitórios, sendo 01 suíte, armários, ar condicionado ventiladores de teto, wc social, sala com ventilador de teto, cozinha com armários, área de serviço coberta, varanda gourmet, quintal, 01 dormitório e wc externo, corredores laterais com armários, aquecedor solar, portão eletrônico, garagem coberta para 02 carros, e 01 vaga descoberta. Trabalhamos com as Garantias Locatícias: CredPago (Cartão de Crédito), Seguro Fiança, Fiador, Título de Capitalização. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. -","Independência, Ribeirão Preto",,R$ 405.000
154 m²,2,2,2,"Residência no Parque Ribeirão, próximo UBDS, Creche, supermercados, postos de combustíveis, farmácia, comércios em geral, lajeada e telhas cerâmicas, piso frio, quintal 7m, área para churrasco e lavanderia. * RESERVAMOS-NOS O DIREITO DE CORRIGIR QUALQUER ERRO DE DIGITAÇÃO SEM PRÉVIO AVISO. * VALORES SUJEITOS A ALTERAÇÕES SEM PRÉVIO AVISO. -","Parque Ribeirão Preto, Ribeirão Preto",Rua Manuel de Macedo,R$ 277.000
113 m²,2,1,2,"Casa com 162m² sendo 113m² de área construída no Jd. das Palmeiras. Casa 02 dormitórios sendo 01 suíte com armário embutido, sala, cozinha com gabinete e armário, banheiro social, varanda com quarto de empregada, corredor lateral, 02 garagens, portão eletrônico. Próximo a Av. Henry Nestle, supermercados, farmácia, padaria, escolas. *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita . *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso. -","Conjunto Habitacional Jardim das Palmeiras, Ribeirão Preto",Avenida Henri Nestlé,R$ 250.000
45 m²,1,1,1,"Apartamento Térreo A Venda Com 01 Quarto No Bairro Jardim paulistano em Ribeirão Preto Com Ótima Localização . - 01 quarto com ótimo acabamento ; - Cozinha com planejados ; - Sala Ampla . Este apartamento de 1 quarto é uma escolha prática e bem localizada. O quarto inclui um armário embutido, proporcionando espaço de armazenamento. A cozinha também está equipada com armários, tornando-a funcional e ideal para preparar refeições. A sala de estar oferece um ambiente confortável para relaxar e desfrutar do seu espaço. A lavanderia acrescenta conveniência às tarefas diárias. O edifício de 3 pavimentos, sem elevador, é uma opção para aqueles que preferem um ambiente mais acessível. Além disso, a localização é vantajosa, com proximidade a várias comodidades, como a Avenida 13 de Maio, supermercados, padarias e farmácias. Este apartamento é uma solução prática e bem situada para quem busca um espaço funcional e com fácil acesso a serviços essenciais. -","Jardim Paulistano, Ribeirão Preto",Rua Dom Luiz do Amaral Mousinho,R$ 140.000
76 m²,2,2,1,O apartamento no bairro Vila Ana Maria com 76 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros,"Vila Ana Maria, Ribeirão Preto",Rua César Tupinambá Roselino,R$ 438.000
75 m²,3,1,1,"Apartamento em ótima localização, 3 dormitórios sendo 1 suíte com armários, sala ampla 2 ambientes com sacada, banheiro social com box blindex, cozinha planejada, área de serviços e 1 vaga de garagem. Mais informações ou agendar visita (1 6) 9 8 8 6 1 6 1 1 0 / (1 6) 3 2 1 1 - 8 3 3. ref. 195707 atualizado em 05/12.","Presidente Médici, Ribeirão Preto",,R$ 270.000
86 m²,2,3,2,"85,75 m2 com 2 dormitórios/suítes mais lavabo. Varanda gourmet já entregue com a churrasqueira e vista livre. Alto padrão com porcelanato de qualidade superior. Esquadria em alumínio e vidro. Equipado com gerador de energia. Medições individualizadas de gás, energia e agua para cada apartamento. Infraestrutura pronta de ar condicionado Split nos 2 dormitórios/suítes, Infraestrutura de aquecimento a gás. Agua quente nos chuveiros, nos lavatórios dos banheiros e na cozinha. -","Nova Aliança, Ribeirão Preto",Rua Palmyra Magnani Protti,R$ 578.118
43 m²,2,1,1,"Apartamento com dois dormitórios, sala, cozinha, área de serviço, banheiro e uma vaga de garagem. Condomínio conta com piscina, quadra poliesportiva e Área de Lazer. IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e/ou alteração pelos proprietários ou pessoas responsáveis. -","Vila Virgínia, Ribeirão Preto",Rua Juruá,R$ 160.000
66 m²,2,1,1,"Apartamento no Edifício Por Do Sol a venda em Rua Terezina - Vila Maria Luiza - Ribeirão Preto/SP Excelente apartamento no bairro Sumarezinho, excelente localização próximo a usp, supermercados, escolas, acesso fácil e rápido para o centro de Ribeirão Preto, 02 dormitórios sendo 01 suíte, 01 banheiro social, 01 vaga de garagem, elevador, piscina! Tipo do imóvel: Apartamento a venda no bairro Vila Maria Luiza em Ribeirão Preto São 66 Eu me especializei nessa região do Vila Maria Luiza Posso marcar a visita bem rápido :) Para isso, clique no botão ao lado ou me chame no WhatsApp ou telefone e mencione o código 325589 Venha conhecer o bairro Vila Maria Luiza, em Ribeirão Preto. Localizado na região norte da cidade, o bairro é conhecido por sua tranquilidade e beleza. Vila Maria Luiza foi fundada em meados do século XX, quando imigrantes italianos chegaram à cidade e construíram suas casas e estabelecimentos comerciais. A vila foi crescendo e se tornou um dos bairros mais tradicionais de Ribeirão Preto. A vila é conhecida por suas ruas arborizadas, casas antigas e tranquilidade. É um lugar ideal para quem procura um lugar para morar ou visitar. Vila Maria Luiza oferece aos seus moradores e visitantes muitas opções de lazer e entretenimento. Há parques, praças, bares, restaurantes, lojas, museus e muito mais. Venha conhecer o bairro Vila Maria Luiza e se encantar com sua história e beleza. Aqui você encontrará tudo o que precisa para desfrutar de momentos inesquecíveis. Clique no botão ao lado que entraremos em contato imediatamente para te auxiliar na busca do imóvel ideal! A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos Anúncio do corretor de imóveis Glaucia Helena Afonso CRECI: 255190-F","Vila Maria Luiza, Ribeirão Preto",Rua Terezina,R$ 204.160
107 m²,3,2,1,"Apartamento em ótima localização, 3 dormitórios com armários sendo 1 suíte, banheiro social, sala 2 ambientes, sacada, cozinha planejada, área de serviços e 1 vaga de garagem. Mais informações ou agendar visita - (1 6) 9 8 8 6 1 - 6 1 1 0 / (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 105185 atualizado em 05/12.","Jardim Palma Travassos, Ribeirão Preto",,R$ 450.000
178 m²,3,2,2,"Excelente apartamento, 3 dormitórios com armários sendo 1 suíte com Blindex , gabinete e hidro, Sala 2 ambientes com sacada ampla, sala de TV, lavabo, cozinha planejada, área de serviços, dependência de empregada, hall com armários, banheiro social reversível com Blindex e gabinete, lazer com piscina, churrasqueira, 2 vagas. Mais informações ou agendar visita (1 6) 9 8 8 6 1 -6 1 1 0 . ref. 2039 atualizado em 05/12.","Centro, Ribeirão Preto",,R$ 490.000
47 m²,2,1,1,"Apartamento sendo 02 dormitórios, sala, banheiro social com gabinete e box blindex, cozinha com armários e gabinetes, área de serviço, 01 vaga de garagem Gostou? Vamos agendar uma visita! *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Ribeirânia, Ribeirão Preto",Avenida Leão XIII,R$ 150.000
72 m²,2,2,4,"Casa nova com ótimo acabamento, de esquina com duas entradas laterais. 2 dormitórios sendo 1 suíte, sala ampla, cozinha com espaço pra sala de jantar, quintal espaçoso, lavanderia, ponto de gás externo 2 banheiros com box, portas e janelas em vidro. Localizada próx. ao Cenourão, padaria, escola, Av. Capitão Salomão. Mais Informações ou agendar visita: ( 1 6 ) 9 9 7 2 2 2 5 6 1 - ( 1 6 ) 9 9 6 3 5 8 0 9. ref. 196118 atualizado em 05/12.","Campos Elíseos, Ribeirão Preto",,R$ 420.000
101 m²,3,3,2,"Apartamento padrão, Bairro Jardim Nova Aliança, (Zona Sul), em Ribeirão Preto/SP. - 3 dormitórios com armários embutidos, sendo 2 suítes; - Banheiro social; - Sala para 2 ambientes com espelhos e cortinas; - Varanda gourmet com churrasqueira; - Cozinha planejada; - Lavanderia planejada; - 2 vagas de garagem. A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 213857 atualizado em 05/12.","Nova Aliança, Ribeirão Preto",,R$ 690.000
207 m²,3,3,4,"Linda casa - Zona Norte . 03 Quartos Sendo 1 suíte 04 Vagas . Imóvel próximo a Av. independência. , Sala Cozinha Com armários Área de Serviço 02 Banheiros 04 Vagas de Garagem Terreno de 340 m² . Espaço com quintal e piscina. *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Vila Elisa, Ribeirão Preto",Rua Barretos,R$ 330.000
88 m²,3,3,2,"Muitos são os atributos deste exclusivo apartamento que a JFC Imobiliária apresenta. Entre estes podemos destacar os acabamentos internos, a disposição e dimensão dos cômodos. - Unidade com 88m² de área privativa; - Sala 2 ambientes - Sacada - 3 Dormitórios, sendo 1 suíte - Banheiro social - Cozinha - Área de serviço - Banheiro de serviço - 2 Vagas de garagem O condomínio oferece: - Academia - Piscina - Sauna - Playground - Salão de Jogos - Salão de festas - Portaria e segurança 24 horas. Que tal agendar uma visita hoje mesmo para conhecer este exclusivo imóvel? Também temos apartamentos disponíveis nos bairros Jardim Olhos D'Água, Jardim Botânico, Bosque das Juritis, Jardim Santa Ângela, Jardim Irajá, Santa Cruz do José Jacques, Higienópolis, Vila Seixas, Centro dentre outros. Seja para vender, alugar ou comprar um novo imóvel procure a JFC Imobiliária, especialista em imóveis na zona sul de Ribeirão Preto. Temos o compromisso em encontrar o imóvel que você deseja. Condomínio e IPTU sujeitos a alterações.","Jardim América, Ribeirão Preto",Avenida Antônio Diederichsen,R$ 500.000
